clip_file,frame_num,total_defensive_players,box_count,defenders_on_los,second_level_count,deep_defenders,front,front_description,safety_alignment,coverage_shell,nose_tackle,edge_count,potential_blitz,blitz_indicators,confidence
End Zone - Clip 025.mp4,165,3,0,1,0,2,3-down,3-2-6,2-high,Cover 2,False,1,False,,0.60
End Zone - Clip 026.mp4,240,6,4,4,2,0,4-down,4-2-5 (Nickel),0-high,Cover 0,False,4,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.60
End Zone - Clip 027.mp4,209,9,6,1,8,0,3-down,3-4,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 028.mp4,242,3,1,1,2,0,3-down,3-2-6,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 029.mp4,151,8,6,3,5,0,3-down,3-4,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),LB showing blitz",0.80
End Zone - Clip 030.mp4,180,10,6,7,3,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,5,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 032.mp4,144,4,1,0,3,1,3-down,3-3-5,1-high,Cover 3,False,1,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 033.mp4,322,10,7,4,6,0,4-down,4-3,0-high,Cover 0,False,3,True,"No deep safety (Cover 0),LB showing blitz",0.90
End Zone - Clip 034.mp4,423,8,6,0,7,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.80
End Zone - Clip 035.mp4,250,3,0,1,1,1,3-down,3-2-6,1-high,Cover 3,False,1,False,DB walked into box,0.60
End Zone - Clip 036.mp4,215,3,1,0,3,0,3-down,3-3-5,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 037.mp4,194,11,6,5,6,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,6,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.90
End Zone - Clip 038.mp4,308,5,4,0,4,1,3-down,3-4,1-high,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 039.mp4,282,9,7,1,7,1,3-down,3-4,1-high,Cover 3,False,1,True,"LB showing blitz,DB walked into box",0.80
End Zone - Clip 040.mp4,320,7,5,6,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 041.mp4,296,9,6,8,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,6,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 042.mp4,466,7,3,4,3,0,4-down,4-3,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.60
End Zone - Clip 043.mp4,318,4,2,1,2,1,3-down,3-2-6,1-high,Cover 3,True,0,False,LB showing blitz,0.60
End Zone - Clip 044.mp4,242,9,4,6,3,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,6,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.60
End Zone - Clip 046.mp4,165,12,8,0,12,0,3-down,3-4,0-high,Cover 0,False,1,True,"8+ in box,No deep safety (Cover 0),DB walked into box",0.80
End Zone - Clip 047.mp4,304,6,3,0,6,0,3-down,3-4,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 048.mp4,268,8,7,0,8,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 049.mp4,222,5,3,0,4,1,3-down,3-4,1-high,Cover 3,False,1,False,,0.60
End Zone - Clip 050.mp4,253,10,5,1,4,5,3-down,3-4,robber,Cover 3,False,1,False,LB showing blitz,0.90
End Zone - Clip 051.mp4,378,5,2,0,4,1,3-down,3-4,1-high,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 052.mp4,134,4,2,0,3,1,3-down,3-3-5,1-high,Cover 3,False,0,False,,0.60
End Zone - Clip 053.mp4,203,4,0,2,1,1,3-down,3-2-6,1-high,Cover 3,False,2,False,DB walked into box,0.60
End Zone - Clip 054.mp4,504,7,4,6,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,4,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 055.mp4,173,7,4,4,2,1,4-down,4-2-5 (Nickel),1-high,Cover 3,False,4,True,"LB showing blitz,DB walked into box",0.70
End Zone - Clip 056.mp4,356,9,7,8,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,6,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 057.mp4,160,6,5,0,6,0,3-down,3-4,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.60
End Zone - Clip 058.mp4,307,10,7,8,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,7,True,"No deep safety (Cover 0),LB showing blitz",0.80
End Zone - Clip 059.mp4,194,12,5,8,4,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,9,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 060.mp4,172,8,2,0,7,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.70
End Zone - Clip 061.mp4,306,7,5,0,7,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 062.mp4,190,1,0,0,1,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 063.mp4,96,2,1,2,0,0,3-down,3-2-6,0-high,Cover 0,False,2,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 064.mp4,125,7,3,1,5,1,3-down,3-4,1-high,Cover 3,False,3,False,DB walked into box,0.60
End Zone - Clip 065.mp4,160,4,0,0,3,1,3-down,3-3-5,1-high,Cover 3,False,1,False,DB walked into box,0.60
End Zone - Clip 066.mp4,127,4,4,3,1,0,3-down,3-2-6,0-high,Cover 0,True,1,True,"No deep safety (Cover 0),LB showing blitz",0.60
End Zone - Clip 067.mp4,337,6,3,0,6,0,3-down,3-4,0-high,Cover 0,False,3,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 068.mp4,313,4,4,3,1,0,3-down,3-2-6,0-high,Cover 0,True,1,False,No deep safety (Cover 0),0.60
End Zone - Clip 069.mp4,251,13,9,12,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,7,True,"8+ in box,No deep safety (Cover 0),DB walked into box",0.80
End Zone - Clip 070.mp4,268,6,2,5,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,4,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 071.mp4,298,4,2,2,2,0,3-down,3-2-6,0-high,Cover 0,True,1,False,No deep safety (Cover 0),0.50
End Zone - Clip 072.mp4,341,8,3,0,5,3,3-down,3-4,robber,Cover 3,False,1,True,"LB showing blitz,DB walked into box",0.70
End Zone - Clip 074.mp4,317,7,3,0,7,0,3-down,3-4,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 075.mp4,193,10,6,8,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,5,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 077.mp4,309,4,3,0,4,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 078.mp4,234,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 079.mp4,347,8,4,0,7,1,3-down,3-4,1-high,Cover 3,False,1,False,DB walked into box,0.70
End Zone - Clip 080.mp4,224,5,1,2,1,2,3-down,3-2-6,robber,Cover 3,False,1,False,,0.60
End Zone - Clip 081.mp4,290,4,1,4,0,0,4-down,4-1-6 (Dime),0-high,Cover 0,True,3,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 082.mp4,545,3,1,3,0,0,3-down,3-2-6,0-high,Cover 0,False,3,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 083.mp4,241,7,2,5,0,2,5-down,5-2 / Goal Line,robber,Cover 3,True,4,False,DB walked into box,0.70
End Zone - Clip 084.mp4,166,4,2,1,2,1,3-down,3-2-6,1-high,Cover 3,False,1,False,DB walked into box,0.60
End Zone - Clip 085.mp4,379,11,3,0,5,6,3-down,3-4,robber,Cover 3,False,1,True,"LB showing blitz,DB walked into box",0.80
End Zone - Clip 086.mp4,158,8,3,7,0,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,6,False,DB walked into box,0.70
End Zone - Clip 087.mp4,334,4,3,2,2,0,3-down,3-2-6,0-high,Cover 0,False,1,False,No deep safety (Cover 0),0.50
End Zone - Clip 088.mp4,354,2,0,0,1,1,3-down,3-2-6,1-high,Cover 3,False,0,False,DB walked into box,0.60
End Zone - Clip 090.mp4,272,3,0,3,0,0,3-down,3-2-6,0-high,Cover 0,False,3,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 092.mp4,487,8,3,5,2,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,3,True,"LB showing blitz,DB walked into box",0.80
End Zone - Clip 093.mp4,374,8,3,4,3,1,4-down,4-3,1-high,Cover 3,False,3,True,"LB showing blitz,DB walked into box",0.80
End Zone - Clip 094.mp4,329,6,3,4,1,1,4-down,4-1-6 (Dime),1-high,Cover 3,False,1,False,,0.70
End Zone - Clip 095.mp4,389,6,5,1,5,0,3-down,3-4,0-high,Cover 0,True,0,True,"No deep safety (Cover 0),LB showing blitz",0.60
End Zone - Clip 096.mp4,222,6,1,2,4,0,3-down,3-4,0-high,Cover 0,False,3,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 097.mp4,182,3,2,0,3,0,3-down,3-3-5,0-high,Cover 0,False,1,False,No deep safety (Cover 0),0.50
End Zone - Clip 098.mp4,181,9,6,7,1,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,2,False,DB walked into box,0.80
End Zone - Clip 099.mp4,385,1,0,0,1,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 100.mp4,311,3,2,0,2,1,3-down,3-2-6,1-high,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 101.mp4,196,7,4,1,3,3,3-down,3-3-5,2-high,Cover 2,False,1,False,,0.60
End Zone - Clip 102.mp4,191,4,1,0,3,1,3-down,3-3-5,1-high,Cover 3,False,1,False,DB walked into box,0.60
End Zone - Clip 103.mp4,163,6,6,3,3,0,3-down,3-3-5,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 104.mp4,136,5,3,0,4,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.60
End Zone - Clip 105.mp4,302,2,2,1,1,0,3-down,3-2-6,0-high,Cover 0,False,1,False,No deep safety (Cover 0),0.50
End Zone - Clip 106.mp4,259,7,3,1,5,1,3-down,3-4,1-high,Cover 3,False,3,False,LB showing blitz,0.60
End Zone - Clip 107.mp4,234,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 108.mp4,183,2,0,0,2,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 109.mp4,247,7,4,0,6,1,3-down,3-4,1-high,Cover 3,False,2,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 110.mp4,240,4,3,0,3,1,3-down,3-3-5,1-high,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 111.mp4,310,8,2,0,4,4,3-down,3-4,robber,Cover 3,False,0,False,LB showing blitz,0.70
End Zone - Clip 112.mp4,529,4,0,0,3,1,3-down,3-3-5,1-high,Cover 3,False,1,False,DB walked into box,0.60
End Zone - Clip 113.mp4,123,10,6,7,2,1,5-down,5-2 / Goal Line,1-high,Cover 3,False,4,False,DB walked into box,0.90
End Zone - Clip 114.mp4,344,5,1,0,2,3,3-down,3-2-6,robber,Cover 3,False,0,False,DB walked into box,0.60
End Zone - Clip 115.mp4,287,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 116.mp4,168,8,5,0,8,0,3-down,3-4,0-high,Cover 0,False,2,True,"No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 117.mp4,175,5,2,4,1,0,4-down,4-1-6 (Dime),0-high,Cover 0,False,4,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 118.mp4,353,5,4,2,3,0,3-down,3-3-5,0-high,Cover 0,True,2,False,No deep safety (Cover 0),0.50
End Zone - Clip 119.mp4,236,4,2,1,2,1,3-down,3-2-6,1-high,Cover 3,False,1,False,LB showing blitz,0.60
End Zone - Clip 120.mp4,459,6,4,0,5,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.60
End Zone - Clip 121.mp4,287,4,3,4,0,0,4-down,4-1-6 (Dime),0-high,Cover 0,True,1,False,No deep safety (Cover 0),0.60
End Zone - Clip 122.mp4,171,4,2,1,2,1,3-down,3-2-6,1-high,Cover 3,False,1,False,LB showing blitz,0.60
End Zone - Clip 123.mp4,299,5,3,0,4,1,3-down,3-4,1-high,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 124.mp4,281,4,3,2,1,1,3-down,3-2-6,1-high,Cover 3,True,0,False,LB showing blitz,0.60
End Zone - Clip 125.mp4,118,3,1,0,1,2,3-down,3-2-6,robber,Cover 3,False,0,False,,0.60
End Zone - Clip 126.mp4,226,5,0,1,0,4,3-down,3-2-6,robber,Cover 3,False,1,False,,0.60
End Zone - Clip 127.mp4,163,10,8,0,10,0,3-down,3-4,0-high,Cover 0,False,0,True,"8+ in box,No deep safety (Cover 0)",0.80
End Zone - Clip 128.mp4,648,8,3,0,5,3,3-down,3-4,robber,Cover 3,False,0,True,"LB showing blitz,DB walked into box",0.70
End Zone - Clip 129.mp4,408,2,1,0,2,0,3-down,3-2-6,0-high,Cover 0,False,1,False,No deep safety (Cover 0),0.50
End Zone - Clip 130.mp4,309,7,3,6,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,5,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 131.mp4,511,5,3,1,3,1,3-down,3-3-5,1-high,Cover 3,False,1,False,,0.60
End Zone - Clip 132.mp4,189,2,0,0,1,1,3-down,3-2-6,1-high,Cover 3,False,0,False,DB walked into box,0.60
End Zone - Clip 133.mp4,748,2,1,1,1,0,3-down,3-2-6,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 134.mp4,430,11,6,0,10,1,3-down,3-4,1-high,Cover 3,False,0,True,"LB showing blitz,DB walked into box",0.90
End Zone - Clip 135.mp4,168,5,4,2,2,1,3-down,3-2-6,1-high,Cover 3,True,1,False,LB showing blitz,0.60
