clip_file,frame_num,total_defensive_players,box_count,defenders_on_los,second_level_count,deep_defenders,front,front_description,safety_alignment,coverage_shell,nose_tackle,edge_count,potential_blitz,blitz_indicators,confidence
End Zone - Clip 044.mp4,288,6,5,0,6,0,3-down,3-4,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.60
End Zone - Clip 045.mp4,256,7,3,0,4,3,3-down,3-4,robber,Cover 3,False,0,False,,0.60
End Zone - Clip 046.mp4,308,11,7,6,4,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,2,True,"LB showing blitz,DB walked into box",0.90
End Zone - Clip 047.mp4,195,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 048.mp4,325,8,6,1,5,2,3-down,3-4,robber,Cover 3,False,1,False,,0.80
End Zone - Clip 049.mp4,127,10,2,0,7,3,3-down,3-4,robber,Cover 3,False,2,False,DB walked into box,0.80
End Zone - Clip 050.mp4,329,9,8,5,3,1,5-down,5-2 / Goal Line,1-high,Cover 1,False,2,True,"8+ in box,LB showing blitz",0.90
End Zone - Clip 051.mp4,223,3,2,0,3,0,3-down,3-3-5,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 052.mp4,263,8,6,0,7,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.80
End Zone - Clip 053.mp4,175,5,5,3,2,0,3-down,3-2-6,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 054.mp4,169,6,2,0,4,2,3-down,3-4,robber,Cover 3,False,0,False,,0.60
End Zone - Clip 055.mp4,125,2,1,0,1,1,3-down,3-2-6,1-high,Cover 3,False,0,False,,0.60
End Zone - Clip 056.mp4,277,7,4,2,4,1,3-down,3-4,1-high,Cover 3,False,1,False,LB showing blitz,0.60
End Zone - Clip 057.mp4,325,5,3,1,3,1,3-down,3-3-5,1-high,Cover 3,False,2,False,LB showing blitz,0.60
End Zone - Clip 058.mp4,105,4,2,4,0,0,4-down,4-1-6 (Dime),0-high,Cover 0,False,3,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 059.mp4,245,4,2,0,3,1,3-down,3-3-5,1-high,Cover 3,False,1,False,DB walked into box,0.60
End Zone - Clip 060.mp4,242,7,4,0,5,2,3-down,3-4,robber,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 061.mp4,199,4,1,0,3,1,3-down,3-3-5,1-high,Cover 3,False,0,False,DB walked into box,0.60
End Zone - Clip 062.mp4,131,1,0,0,1,0,3-down,3-2-6,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 063.mp4,355,8,6,6,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,4,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 064.mp4,455,8,5,6,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 065.mp4,253,10,7,0,10,0,3-down,3-4,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),DB walked into box",0.80
End Zone - Clip 066.mp4,298,10,5,7,3,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,7,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 067.mp4,418,5,3,5,0,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 068.mp4,253,10,6,0,10,0,3-down,3-4,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.80
End Zone - Clip 069.mp4,326,9,8,0,9,0,3-down,3-4,0-high,Cover 0,False,0,True,"8+ in box,No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 070.mp4,212,9,6,0,9,0,3-down,3-4,0-high,Cover 0,False,2,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 071.mp4,254,6,4,4,2,0,4-down,4-2-5 (Nickel),0-high,Cover 0,False,1,False,No deep safety (Cover 0),0.60
End Zone - Clip 072.mp4,182,3,2,1,1,1,3-down,3-2-6,1-high,Cover 3,False,1,False,LB showing blitz,0.60
End Zone - Clip 073.mp4,269,7,5,0,6,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.70
End Zone - Clip 074.mp4,193,4,1,0,4,0,3-down,3-4,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 075.mp4,235,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 076.mp4,160,8,6,2,6,0,3-down,3-4,0-high,Cover 0,True,0,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 077.mp4,178,17,12,0,16,1,3-down,3-4,1-high,Cover 1,False,3,True,"8+ in box,LB showing blitz,DB walked into box",0.80
End Zone - Clip 078.mp4,357,1,1,0,1,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 079.mp4,456,5,4,5,0,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,2,True,"No deep safety (Cover 0),LB showing blitz",0.60
End Zone - Clip 080.mp4,282,9,6,0,9,0,3-down,3-4,0-high,Cover 0,False,5,True,"No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 081.mp4,253,10,7,0,10,0,3-down,3-4,0-high,Cover 0,False,2,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 082.mp4,382,4,2,3,1,0,3-down,3-2-6,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 083.mp4,531,4,2,0,4,0,3-down,3-4,0-high,Cover 0,False,1,False,No deep safety (Cover 0),0.50
End Zone - Clip 084.mp4,395,3,1,1,2,0,3-down,3-2-6,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 086.mp4,213,11,7,0,9,2,3-down,3-4,robber,Cover 3,False,0,False,,0.90
End Zone - Clip 087.mp4,528,12,8,10,1,1,5-down,5-2 / Goal Line,1-high,Cover 1,True,4,True,"8+ in box,LB showing blitz,DB walked into box",0.90
End Zone - Clip 088.mp4,195,6,3,0,5,1,3-down,3-4,1-high,Cover 3,False,1,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 089.mp4,314,6,1,1,3,2,3-down,3-3-5,2-high,Cover 2,False,2,False,DB walked into box,0.60
End Zone - Clip 090.mp4,255,7,3,0,5,2,3-down,3-4,robber,Cover 3,False,0,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 091.mp4,267,7,5,0,6,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.70
End Zone - Clip 092.mp4,222,6,4,1,4,1,3-down,3-4,1-high,Cover 3,False,0,False,DB walked into box,0.60
End Zone - Clip 094.mp4,100,8,8,0,8,0,3-down,3-4,0-high,Cover 0,False,1,True,"8+ in box,No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 095.mp4,199,8,6,1,7,0,3-down,3-4,0-high,Cover 0,False,3,True,"No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 097.mp4,267,6,5,5,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,2,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 099.mp4,181,5,5,4,1,0,4-down,4-1-6 (Dime),0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 100.mp4,286,4,2,0,4,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 101.mp4,221,10,6,0,10,0,3-down,3-4,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 102.mp4,294,10,4,0,8,2,3-down,3-4,2-high,Cover 2,False,2,True,"LB showing blitz,DB walked into box",0.80
End Zone - Clip 103.mp4,136,8,6,7,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 104.mp4,118,10,7,4,5,1,4-down,4-3,1-high,Cover 3,False,3,True,"LB showing blitz,DB walked into box",1.00
End Zone - Clip 105.mp4,545,5,2,3,1,1,3-down,3-2-6,1-high,Cover 3,False,2,False,DB walked into box,0.70
End Zone - Clip 106.mp4,266,10,7,9,0,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,5,False,,0.90
End Zone - Clip 107.mp4,319,9,7,0,8,1,3-down,3-4,1-high,Cover 3,False,0,False,LB showing blitz,0.80
End Zone - Clip 108.mp4,388,6,4,4,1,1,4-down,4-1-6 (Dime),1-high,Cover 3,False,3,False,LB showing blitz,0.70
End Zone - Clip 109.mp4,302,3,1,1,1,1,3-down,3-2-6,1-high,Cover 3,False,1,False,DB walked into box,0.60
End Zone - Clip 110.mp4,726,4,2,2,1,1,3-down,3-2-6,1-high,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 111.mp4,247,6,2,2,3,1,3-down,3-3-5,1-high,Cover 3,False,2,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 112.mp4,480,10,6,8,1,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,3,False,DB walked into box,0.90
End Zone - Clip 113.mp4,261,6,3,0,4,2,3-down,3-4,robber,Cover 3,False,0,False,,0.60
End Zone - Clip 114.mp4,182,7,4,0,6,1,3-down,3-4,1-high,Cover 3,False,0,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 115.mp4,290,1,1,1,0,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 116.mp4,145,9,5,5,2,2,5-down,5-2 / Goal Line,robber,Cover 3,True,4,True,"LB showing blitz,DB walked into box",0.90
End Zone - Clip 117.mp4,303,6,5,0,5,1,3-down,3-4,1-high,Cover 3,False,0,False,,0.70
End Zone - Clip 118.mp4,208,5,4,0,5,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 119.mp4,350,6,3,3,2,1,3-down,3-2-6,1-high,Cover 3,False,1,True,"LB showing blitz,DB walked into box",0.70
End Zone - Clip 120.mp4,442,7,4,0,5,2,3-down,3-4,robber,Cover 3,False,0,False,LB showing blitz,0.60
End Zone - Clip 121.mp4,608,6,4,3,2,1,3-down,3-2-6,1-high,Cover 3,True,1,True,"LB showing blitz,DB walked into box",0.70
End Zone - Clip 122.mp4,172,8,6,5,3,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 123.mp4,500,1,1,0,1,0,3-down,3-2-6,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 124.mp4,127,6,3,4,1,1,4-down,4-1-6 (Dime),1-high,Cover 3,True,3,False,,0.70
End Zone - Clip 125.mp4,523,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 126.mp4,230,5,3,3,2,0,3-down,3-2-6,0-high,Cover 0,False,3,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 127.mp4,203,9,6,7,1,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,5,False,LB showing blitz,0.80
End Zone - Clip 128.mp4,321,6,2,5,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,5,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 129.mp4,226,11,8,1,10,0,3-down,3-4,0-high,Cover 0,False,2,True,"8+ in box,No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 130.mp4,233,10,6,10,0,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,5,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 131.mp4,230,13,10,0,13,0,3-down,3-4,0-high,Cover 0,False,0,True,"8+ in box,No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 132.mp4,338,8,6,3,5,0,3-down,3-4,0-high,Cover 0,True,2,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 133.mp4,117,8,7,6,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,1,True,"No deep safety (Cover 0),LB showing blitz",0.70
